Prop_1,Prop_2,Prop_3,Prop_4,Prop_5,Prop_6,Prop_7,Prop_8,Prop_9
desk,desktop_computer,monitor,screen,sewing_machine,television,laptop,file,printer
bannister,web_site,crane,comic_book,hook,book_jacket,steel_arch_bridge,barbershop,lighter
slot,desktop_computer,loudspeaker,projector,television,monitor,screen,desk,home_theater
dishwasher,desktop_computer,monitor,refrigerator,screen,microwave,hard_disc,washer,printer
monitor,desktop_computer,web_site,screen,radio,binder,loudspeaker,notebook,oscilloscope
monitor,screen,web_site,ballpoint,television,notebook,radio,rubber_eraser,bookcase
monitor,screen,carton,desktop_computer,computer_keyboard,loudspeaker,file,sewing_machine,projector
desktop_computer,monitor,hard_disc,screen,desk,trailer_truck,television,stage,notebook
perfume,digital_clock,television,hourglass,vase,coffee_mug,ashcan,screen,analog_clock
desktop_computer,monitor,desk,screen,laptop,computer_keyboard,notebook,mouse,television
binder,accordion,wardrobe,wallet,shower_curtain,cinema,cassette,envelope,vending_machine
monitor,desktop_computer,screen,web_site,television,space_heater,modem,mouse,desk
electric_guitar,abaya,comic_book,bulletproof_vest,book_jacket,stopwatch,jersey,scoreboard,sweatshirt
screen,tub,stage,accordion,desktop_computer,desk,television,monitor,computer_keyboard
monitor,screen,hard_disc,desktop_computer,notebook,slot,carpenter's_kit,computer_keyboard,oscilloscope
web_site,desktop_computer,slot,monitor,screen,television,loudspeaker,hard_disc,spotlight
notebook,laptop,marimba,groom,miniskirt,desk,flute,gown,hoopskirt
rotisserie,microwave,reflex_camera,oscilloscope,television,hard_disc,screw,loudspeaker,stove
stage,cinema,loudspeaker,web_site,home_theater,scoreboard,projector,analog_clock,monitor
laptop,notebook,desktop_computer,monitor,computer_keyboard,screen,mouse,web_site,desk
desktop_computer,home_theater,projector,CD_player,notebook,monitor,television,radio,loudspeaker
hard_disc,radio,CD_player,loudspeaker,cassette,tape_player,oscilloscope,cassette_player,remote_control
loudspeaker,web_site,scoreboard,comic_book,odometer,car_wheel,cassette_player,analog_clock,oscilloscope
switch,medicine_chest,notebook,cassette,radio,desktop_computer,modem,hard_disc,monitor
cash_machine,slot,vending_machine,web_site,monitor,screen,television,analog_clock,home_theater
web_site,comic_book,book_jacket,monitor,stage,television,jigsaw_puzzle,home_theater,screen
stage,cornet,French_horn,sax,dishwasher,microphone,jersey,sunglasses,sunglass
monitor,stage,desktop_computer,screen,theater_curtain,home_theater,desk,television,cinema
desktop_computer,monitor,screen,television,slot,vending_machine,home_theater,mouse,cash_machine
web_site,comic_book,book_jacket,binder,scoreboard,wallet,envelope,monitor,desktop_computer
traffic_light,loudspeaker,radio,CD_player,oscilloscope,printer,notebook,tennis_ball,desktop_computer
desktop_computer,television,screen,desk,loudspeaker,laptop,monitor,tape_player,projector
cellular_telephone,bow_tie,sunglasses,parking_meter,sunglass,turnstile,espresso,projector,reflex_camera
desktop_computer,desk,monitor,laptop,notebook,screen,mouse,television,computer_keyboard
web_site,space_heater,stove,cassette_player,dishwasher,safe,combination_lock,lighter,electric_fan
wardrobe,microwave,vending_machine,television,refrigerator,safe,cash_machine,desktop_computer,barbershop
web_site,iPod,monitor,slot,cellular_telephone,screen,oscilloscope,stage,padlock
carton,crate,envelope,packet,switch,honeycomb,picket_fence,padlock,mailbox
cellular_telephone,hard_disc,grand_piano,theater_curtain,radio,joystick,lifeboat,upright,laptop
desktop_computer,home_theater,mouse,projector,cassette_player,slot,jigsaw_puzzle,radio,monitor
trailer_truck,garbage_truck,projector,slot,home_theater,snowplow,loudspeaker,television,screen
desktop_computer,radio,monitor,printer,television,screen,safe,hard_disc,CD_player
cassette,tape_player,hard_disc,vending_machine,slot,cassette_player,projector,web_site,trailer_truck
web_site,fire_engine,sewing_machine,book_jacket,cassette,television,oscilloscope,cash_machine,comic_book
desk,desktop_computer,monitor,screen,file,projector,home_theater,mouse,printer
desktop_computer,monitor,screen,desk,web_site,perfume,slot,television,projector
radio,desktop_computer,oscilloscope,monitor,forklift,hard_disc,television,home_theater,trailer_truck
radio,loudspeaker,switch,web_site,electric_guitar,laptop,joystick,barbell,notebook
vending_machine,trailer_truck,monitor,loudspeaker,stage,desktop_computer,fire_engine,television,home_theater
loudspeaker,microwave,cassette_player,CD_player,television,monitor,safe,Polaroid_camera,radio
stage,monitor,trailer_truck,shopping_cart,garbage_truck,forklift,abacus,slot,scoreboard
